check_type,path,status,message,safe_note
python_compile,streamlit_app.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/add_draws_section.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v74_model_dependency_sync_center_engine.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v74_selective_sync_actions.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v76_explainability_validation_engine.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v76_explainability_validation_section.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v77_decision_recommendation_engine.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v77_decision_recommendation_section.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v78_final_play_plan_engine.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v78_final_play_plan_section.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v79_ticket_pack_export_engine.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v79_ticket_pack_export_section.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v80_final_system_audit_engine.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v80_final_system_audit_section.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,scripts/v80_build_final_system_audit_center.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v81_final_ux_navigation_engine.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v81_final_ux_navigation_section.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,scripts/v81_build_final_ux_navigation_center.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v82_final_release_package_engine.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v82_final_release_package_section.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,scripts/v82_build_final_release_package_center.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v83_final_user_manual_engine.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,src/v83_final_user_manual_section.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
python_compile,scripts/v83_build_final_user_manual_center.py,OK,OK,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
cyrillic_mojibake_scan,active_text_files,Провери,reports/v150_1_dynamic_text_audit.csv: ????; scripts/v111_6_build_prize_import_captcha_safe_manual_import.py: ????; scripts/v111_9_remove_unofficial_archive_source.py: ????; scripts/v114_build_ticket_value.py: ????; scripts/v116_1_fix_backtesting_duplicate_columns.py: ????; src/v150_ui_language_integrity_engine.py: �,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
streamlit_label,Обяснимост и валидация,OK,count=2,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
streamlit_label,Решение и препоръка,OK,count=2,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
streamlit_label,Финален план,OK,count=4,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
streamlit_label,Експорт и изпълнение,OK,count=2,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
streamlit_label,Финален системен одит,OK,count=2,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
streamlit_label,Финален UX контрол,OK,count=2,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
streamlit_label,Финален пакет за предаване,OK,count=2,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
streamlit_label,Ръководство за апа,OK,count=2,"Step 80 е финален системен одит на данни, артефакти, планове за синхронизация и файлово качество. Това е контролен слой, не прогноза и не гаранция за печалба."
